Rank,Name,Country/Region,Overall,Research Quality,Industry Income,International Outlook,Research Environment,Teaching
301–400,Federal University of Minas Gerais,Brazil,30.5–34.9,36.0,41.2,26.0,25.6,40.0
301–400,Federal University of Rio de Janeiro,Brazil,30.5–34.9,41.2,36.6,29.7,27.4,33.7
301–400,Flinders University,Australia,30.5–34.9,74.3,52.9,78.2,17.4,25.5
301–400,Florida State University,United States,30.5–34.9,73.7,63.4,40.8,16.8,30.6
301–400,George Washington University,United States,30.5–34.9,73.0,67.7,64.3,20.2,20.3
301–400,Griffith University,Australia,30.5–34.9,78.4,70.1,73.1,18.5,22.4
301–400,Hanyang University,South Korea,30.5–34.9,50.7,72.5,74.3,15.6,30.2
301–400,Harbin Institute of Technology,China,30.5–34.9,68.1,100.0,63.9,19.7,21.3
301–400,Heinrich Heine University Düsseldorf,Germany,30.5–34.9,62.7,82.1,56.7,21.5,28.7
301–400,Huazhong University of Science and Technology,China,30.5–34.9,81.5,87.4,52.4,14.1,22.8
301–400,ISCTE-University Institute of Lisbon,Portugal,30.5–34.9,67.1,77.4,52.0,21.2,22.2
301–400,Korea University,South Korea,30.5–34.9,52.1,87.7,81.0,18.2,23.4
301–400,Kyung Hee University,South Korea,30.5–34.9,59.0,74.9,80.4,14.5,22.3
301–400,Kyushu University,Japan,30.5–34.9,39.7,85.1,75.8,21.5,29.7
301–400,La Trobe University,Australia,30.5–34.9,73.3,60.0,76.2,18.0,24.7
301–400,Leibniz University Hannover,Germany,30.5–34.9,63.8,67.8,48.0,26.8,26.1
301–400,National and Kapodistrian University of Athens,Greece,30.5–34.9,46.7,95.2,52.0,27.6,26.5
301–400,National Cheng Kung University (NCKU),Taiwan,30.5–34.9,63.3,100.0,63.7,16.1,22.1
301–400,National Taiwan Normal University,Taiwan,30.5–34.9,64.9,61.5,68.8,15.0,25.3
301–400,North Carolina State University,United States,30.5–34.9,71.6,63.9,45.1,13.6,31.1
301–400,Northumbria University,United Kingdom,30.5–34.9,64.1,39.1,70.7,16.6,24.8
301–400,Northwestern Polytechnical University,China,30.5–34.9,73.8,100.0,59.0,15.0,19.1
301–400,Novosibirsk State University,Russian Federation,30.5–34.9,44.3,52.4,50.8,25.4,26.7
301–400,Oxford Brookes University,United Kingdom,30.5–34.9,56.7,22.0,74.9,20.9,32.6
301–400,Paris Lodron Universität Salzburg,Austria,30.5–34.9,54.9,32.4,82.8,18.1,31.5
301–400,Polytechnic University of Turin,Italy,30.5–34.9,60.9,91.9,55.9,23.0,25.8
301–400,Queen’s University,Canada,30.5–34.9,65.7,68.9,65.1,19.7,19.7
301–400,Rovira i Virgili University,Spain,30.5–34.9,77.3,32.2,72.6,16.1,28.0
301–400,RUDN University,Russian Federation,30.5–34.9,61.4,25.9,61.4,24.5,28.9
301–400,Shanghai University,China,30.5–34.9,55.0,76.1,57.8,20.1,25.0
301–400,Southeast University,China,30.5–34.9,65.5,86.6,69.1,16.2,20.7
301–400,Swinburne University of Technology,Australia,30.5–34.9,74.1,45.6,65.8,15.8,21.3
301–400,Technion Israel Institute of Technology,Israel,30.5–34.9,78.0,69.4,62.7,16.4,18.6
301–400,The Catholic University of America,United States,30.5–34.9,35.2,67.8,32.0,20.3,38.2
301–400,The Open University,United Kingdom,30.5–34.9,68.9,57.8,53.7,16.5,22.1
301–400,Tianjin University,China,30.5–34.9,57.4,93.5,77.9,16.7,24.8
301–400,TU Dortmund University,Germany,30.5–34.9,69.7,39.4,42.3,21.5,20.7
301–400,TU Dresden,Germany,30.5–34.9,65.1,80.9,56.1,20.2,27.5
301–400,Tufts University,United States,30.5–34.9,63.9,67.4,53.4,12.4,30.2
301–400,TU Wien,Austria,30.5–34.9,55.2,68.4,92.2,17.9,24.9
301–400,Umeå University,Sweden,30.5–34.9,72.1,39.3,54.0,17.7,25.9
301–400,Universidade Estadual Paulista (Unesp),Brazil,30.5–34.9,31.0,50.4,31.8,23.9,35.4
301–400,Università Cattolica del Sacro Cuore,Italy,30.5–34.9,49.0,56.5,53.7,20.3,30.4
301–400,Université Laval,Canada,30.5–34.9,56.4,60.0,66.6,20.1,28.0
301–400,Universiti Sains Malaysia,Malaysia,30.5–34.9,73.1,45.1,70.9,18.4,26.9
301–400,Universiti Teknologi Malaysia,Malaysia,30.5–34.9,72.3,48.6,75.6,15.3,20.0
301–400,University at Buffalo,United States,30.5–34.9,66.4,68.0,58.6,14.4,24.7
301–400,University College Cork,Ireland,30.5–34.9,61.0,54.3,77.4,23.5,24.6
301–400,University of Calgary,Canada,30.5–34.9,67.2,72.7,75.5,21.6,24.0
301–400,University of Canterbury,New Zealand,30.5–34.9,67.9,51.8,81.7,16.7,17.9
301–400,University of Cyprus,Cyprus,30.5–34.9,66.2,30.1,78.7,16.8,21.2
301–400,University of Duisburg-Essen,Germany,30.5–34.9,68.9,60.8,49.2,18.8,25.1
301–400,University of Ferrara,Italy,30.5–34.9,68.5,83.3,48.9,17.6,28.7
301–400,University of Georgia (USA),United States,30.5–34.9,77.6,60.0,38.5,16.8,30.8
301–400,University of Haifa,Israel,30.5–34.9,67.9,58.3,31.4,23.4,23.5
301–400,University of Huddersfield,United Kingdom,30.5–34.9,63.9,29.6,65.9,19.0,26.1
301–400,University of Iceland,Iceland,30.5–34.9,66.1,72.5,62.7,21.7,23.8
301–400,University of Illinois Chicago,United States,30.5–34.9,69.9,75.5,48.4,19.0,23.8
301–400,University of Iowa,United States,30.5–34.9,65.5,71.1,41.5,16.0,28.5
301–400,University of Johannesburg,South Africa,30.5–34.9,77.3,40.4,77.9,21.1,16.2
301–400,University of Limerick,Ireland,30.5–34.9,67.1,51.8,75.5,19.0,23.3
301–400,University of Macau,Macao,30.5–34.9,83.6,45.2,95.0,17.6,19.8
301–400,University of Marburg,Germany,30.5–34.9,45.0,65.5,54.4,21.5,28.8
301–400,University of Minho,Portugal,30.5–34.9,65.7,74.1,69.8,20.6,18.7
301–400,University of Naples Federico II,Italy,30.5–34.9,56.5,64.1,29.1,23.6,32.4
301–400,University of Neuchâtel,Switzerland,30.5–34.9,74.0,36.1,78.6,22.1,23.2
301–400,University of Oulu,Finland,30.5–34.9,74.5,50.7,41.1,20.0,21.3
301–400,University of Pretoria,South Africa,30.5–34.9,58.8,39.6,45.6,22.7,28.9
301–400,University of Roehampton,United Kingdom,30.5–34.9,59.7,42.5,71.3,18.5,24.9
301–400,University of Rome II – Tor Vergata,Italy,30.5–34.9,50.6,97.8,51.1,19.8,26.5
301–400,University of Santiago de Compostela,Spain,30.5–34.9,53.0,26.5,39.9,24.9,31.9
301–400,University of Seville,Spain,30.5–34.9,51.9,27.1,46.8,31.0,28.8
301–400,University of Sharjah,United Arab Emirates,30.5–34.9,75.3,25.3,96.3,10.2,20.6
301–400,University of Strathclyde,United Kingdom,30.5–34.9,79.0,54.8,74.9,17.7,22.8
301–400,University of Stuttgart,Germany,30.5–34.9,57.2,99.7,55.0,24.5,25.3
301–400,University of the Basque Country,Spain,30.5–34.9,67.9,67.2,38.2,22.8,24.7
301–400,University of Utah,United States,30.5–34.9,73.9,71.5,38.8,19.3,22.5
301–400,University of Victoria,Canada,30.5–34.9,68.6,68.4,67.7,18.9,16.5
301–400,University of Waikato,New Zealand,30.5–34.9,88.0,54.1,81.1,13.7,12.7
301–400,University of Waterloo,Canada,30.5–34.9,75.5,76.7,70.1,16.4,18.3
301–400,University of Wollongong,Australia,30.5–34.9,83.5,60.2,78.9,17.4,20.8
301–400,Virginia Polytechnic Institute and State University,United States,30.5–34.9,66.3,67.1,57.3,14.0,25.9
301–400,Volgograd State University,Russian Federation,30.5–34.9,59.0,24.2,46.1,20.7,26.9
301–400,Waseda University,Japan,30.5–34.9,56.2,70.7,59.3,22.5,29.9
401–500,Altai State University,Russian Federation,26.7–30.4,36.9,46.4,68.8,14.9,24.8
401–500,American University in Cairo,Egypt,26.7–30.4,33.1,21.9,77.7,17.5,27.4
401–500,American University of Beirut,Lebanon,26.7–30.4,48.7,97.2,78.9,13.5,21.0
401–500,American University of Sharjah,United Arab Emirates,26.7–30.4,74.5,20.4,89.4,10.4,19.3
401–500,Anglia Ruskin University (ARU),United Kingdom,26.7–30.4,62.1,34.8,87.6,9.3,23.3
401–500,Aristotle University of Thessaloniki,Greece,26.7–30.4,55.1,59.4,35.2,19.5,24.4
401–500,Beihang University,China,26.7–30.4,79.5,73.1,47.8,8.3,18.1
401–500,Ben-Gurion University of the Negev,Israel,26.7–30.4,59.6,67.7,25.7,18.7,27.4
401–500,Boğaziçi University,Turkey,26.7–30.4,62.0,95.0,56.2,15.5,18.7
401–500,Charles Sturt University,Australia,26.7–30.4,65.5,17.8,45.8,14.3,26.6
401–500,Coventry University,United Kingdom,26.7–30.4,67.4,37.0,85.4,11.7,18.6
401–500,Dalhousie University,Canada,26.7–30.4,62.6,66.1,71.7,12.6,15.4
401–500,East China Normal University,China,26.7–30.4,57.5,49.4,73.7,9.4,26.6
401–500,Fluminense Federal University,Brazil,26.7–30.4,40.0,29.5,31.4,17.4,33.3
401–500,Free University of Bozen-Bolzano,Italy,26.7–30.4,71.2,66.6,83.6,15.1,14.4
401–500,George Mason University,United States,26.7–30.4,64.7,54.5,39.8,11.5,24.2
401–500,Hiroshima University,Japan,26.7–30.4,43.2,46.1,75.4,14.7,26.0
401–500,Hokkaido University,Japan,26.7–30.4,45.8,62.0,56.1,17.7,29.1
401–500,Hunan University,China,26.7–30.4,59.8,70.5,43.0,12.3,21.5
401–500,Iowa State University,United States,26.7–30.4,66.7,76.8,35.9,14.8,19.5
401–500,Jaume I University,Spain,26.7–30.4,60.1,54.5,46.8,17.6,25.3
401–500,Jawaharlal Nehru University,India,26.7–30.4,43.8,24.5,21.1,19.9,32.3
401–500,Keele University,United Kingdom,26.7–30.4,60.3,61.2,51.5,16.2,21.8
401–500,King Abdulaziz University,Saudi Arabia,26.7–30.4,71.9,41.0,74.5,8.7,24.2
401–500,King Saud University,Saudi Arabia,26.7–30.4,63.1,53.3,77.2,14.3,16.1
401–500,Louisiana State University,United States,26.7–30.4,68.6,43.9,34.1,10.4,23.9
401–500,Massey University,New Zealand,26.7–30.4,65.5,84.6,77.2,11.7,16.6
401–500,Maynooth University,Ireland,26.7–30.4,70.5,41.5,67.2,16.9,16.7
401–500,Memorial University of Newfoundland,Canada,26.7–30.4,51.3,29.2,70.1,12.0,22.4
401–500,Middlesex University,United Kingdom,26.7–30.4,55.6,65.4,79.7,9.4,18.5
401–500,Mizzou - University of Missouri,United States,26.7–30.4,68.7,56.8,47.0,11.4,23.9
401–500,Nankai University,China,26.7–30.4,55.2,59.2,77.5,10.0,20.5
401–500,National Yang Ming Chiao Tung University (NYCU),Taiwan,26.7–30.4,50.7,99.6,53.1,18.9,17.1
401–500,Nazarbayev University,Kazakhstan,26.7–30.4,75.8,17.8,70.2,11.0,18.6
401–500,Örebro University,Sweden,26.7–30.4,79.2,57.3,49.1,14.7,20.3
401–500,The University of Osaka,Japan,26.7–30.4,36.5,73.9,58.9,16.6,23.9
401–500,Paderborn University,Germany,26.7–30.4,53.0,73.4,37.1,18.3,19.4
401–500,Plekhanov Russian University of Economics,Russian Federation,26.7–30.4,77.4,27.2,70.5,9.0,17.6
401–500,Polytechnic University of Valencia,Spain,26.7–30.4,53.0,81.3,51.6,13.8,21.0
401–500,Qatar University,Qatar,26.7–30.4,68.0,28.2,87.4,8.6,20.3
401–500,Roskilde University,Denmark,26.7–30.4,55.9,97.7,39.8,21.1,16.2
401–500,Sichuan University,China,26.7–30.4,56.4,72.5,66.8,12.4,23.6
401–500,South China University of Technology,China,26.7–30.4,59.6,75.5,72.1,13.1,21.5
401–500,Sun Yat-sen University,China,26.7–30.4,63.5,68.4,57.3,10.6,26.3
401–500,SUNY University at Albany,United States,26.7–30.4,65.5,70.7,42.7,12.9,21.4
401–500,Swansea University,United Kingdom,26.7–30.4,66.7,55.6,71.7,14.8,21.2
401–500,Syracuse University,United States,26.7–30.4,60.3,58.3,52.5,12.5,19.9
401–500,Tallinn University,Estonia,26.7–30.4,55.0,18.3,54.5,21.4,19.1
401–500,Technical University of Madrid,Spain,26.7–30.4,44.3,61.5,51.1,14.5,27.9
401–500,Temple University,United States,26.7–30.4,63.6,63.8,32.7,11.3,24.8
401–500,Toronto Metropolitan University,Canada,26.7–30.4,69.9,73.2,56.2,14.5,15.5
401–500,Tulane University,United States,26.7–30.4,59.3,63.1,35.7,11.9,25.8
401–500,Ulster University,United Kingdom,26.7–30.4,62.8,58.3,70.4,17.2,11.8
401–500,Universidade Federal de Santa Catarina,Brazil,26.7–30.4,44.7,28.8,33.4,15.6,30.5
401–500,Universidade Federal do Rio Grande do Sul,Brazil,26.7–30.4,38.9,31.2,26.0,16.6,32.3
401–500,Universitas Gadjah Mada,Indonesia,26.7–30.4,44.5,49.9,62.0,18.7,24.5
401–500,Universitat Politècnica de Catalunya,Spain,26.7–30.4,60.7,74.7,64.7,15.5,21.2
401–500,Université Côte d'Azur,France,26.7–30.4,53.4,66.2,85.8,11.8,17.7
401–500,Universiti Putra Malaysia,Malaysia,26.7–30.4,48.6,48.0,77.3,15.1,23.2
401–500,University of Alcalá,Spain,26.7–30.4,49.4,22.2,61.5,15.9,27.7
401–500,University of Alicante,Spain,26.7–30.4,53.2,67.0,33.8,21.0,26.3
401–500,"University of California, Merced",United States,26.7–30.4,81.8,70.9,44.6,9.0,19.2
401–500,University of Castilla-La Mancha,Spain,26.7–30.4,52.8,69.8,38.4,13.8,25.4
401–500,University of Delaware,United States,26.7–30.4,68.6,65.2,46.6,12.8,20.2
401–500,University of Delhi,India,26.7–30.4,39.9,26.8,23.8,18.8,32.3
401–500,University of Dundee,United Kingdom,26.7–30.4,50.8,68.0,69.5,13.8,17.8
401–500,University of Eastern Finland,Finland,26.7–30.4,61.7,67.4,45.1,15.5,19.5
401–500,University of Genoa,Italy,26.7–30.4,55.4,73.5,43.4,16.5,27.4
401–500,University of Hertfordshire,United Kingdom,26.7–30.4,69.0,62.0,73.8,9.9,14.1
401–500,University of Hull,United Kingdom,26.7–30.4,59.7,56.0,63.5,14.3,20.7
401–500,University of Indonesia,Indonesia,26.7–30.4,38.9,50.0,66.1,18.8,27.7
401–500,University of Jaén,Spain,26.7–30.4,63.2,44.9,32.2,15.5,20.7
401–500,University of Kentucky,United States,26.7–30.4,66.4,63.2,35.6,10.4,22.8
401–500,University of Klagenfurt,Austria,26.7–30.4,56.8,40.5,80.0,12.8,23.8
401–500,University of KwaZulu-Natal,South Africa,26.7–30.4,57.0,22.2,38.6,19.9,22.3
401–500,University of Ljubljana,Slovenia,26.7–30.4,51.3,71.9,31.6,16.3,24.5
401–500,University of Lleida,Spain,26.7–30.4,66.6,82.4,33.4,14.9,17.5
401–500,University of Lorraine,France,26.7–30.4,42.5,72.7,67.2,15.2,22.0
401–500,University of Memphis,United States,26.7–30.4,67.2,67.5,31.5,10.6,22.3
401–500,University of Miami,United States,26.7–30.4,69.3,69.1,53.7,11.7,24.7
401–500,University of Modena and Reggio Emilia,Italy,26.7–30.4,58.3,71.2,57.8,16.8,20.6
401–500,University of Murcia,Spain,26.7–30.4,53.7,24.1,28.2,18.7,23.8
401–500,University of Palermo,Italy,26.7–30.4,46.9,46.7,38.7,16.2,31.8
401–500,University of Pavia,Italy,26.7–30.4,58.4,52.8,36.3,24.2,22.4
401–500,University of Portsmouth,United Kingdom,26.7–30.4,64.8,31.2,89.6,11.2,17.3
401–500,University of Rennes 1,France,26.7–30.4,57.0,67.4,79.2,13.7,19.1
401–500,University of Rome III,Italy,26.7–30.4,46.7,28.3,38.8,20.9,28.1
401–500,University of Saskatchewan,Canada,26.7–30.4,71.0,67.4,59.3,16.2,13.6
401–500,University of South Carolina-Columbia,United States,26.7–30.4,67.1,53.9,54.7,10.2,22.0
401–500,University of Southern Queensland,Australia,26.7–30.4,66.6,17.8,52.2,14.0,25.4
401–500,University of South Florida,United States,26.7–30.4,71.7,79.0,52.5,13.3,17.9
401–500,University of Tasmania,Australia,26.7–30.4,66.5,42.2,72.4,18.1,16.8
401–500,University of Tehran,Iran,26.7–30.4,55.3,40.0,37.5,17.4,26.0
401–500,University of the Western Cape,South Africa,26.7–30.4,66.0,33.5,49.7,20.6,14.6
401–500,UWE Bristol (University of the West of England),United Kingdom,26.7–30.4,85.2,64.3,67.2,11.4,16.6
401–500,University of Tsukuba,Japan,26.7–30.4,43.0,60.7,64.5,17.8,26.0
401–500,University of Westminster,United Kingdom,26.7–30.4,52.4,21.1,73.3,14.4,21.2
401–500,University of Wolverhampton,United Kingdom,26.7–30.4,63.2,68.3,74.9,11.6,16.7
401–500,University of Wrocław,Poland,26.7–30.4,50.7,27.0,34.3,17.9,24.3
401–500,University of Zaragoza,Spain,26.7–30.4,53.4,40.7,30.3,21.4,25.3
401–500,Washington State University,United States,26.7–30.4,73.3,67.9,43.7,10.4,18.3
401–500,Xiamen University,China,26.7–30.4,63.8,70.7,56.4,12.1,23.8
501–600,Aberystwyth University,United Kingdom,23.8–26.6,56.8,23.4,69.1,14.7,16.7
501–600,Al-Farabi Kazakh National University,Kazakhstan,23.8–26.6,22.8,21.5,81.2,13.8,29.1
501–600,American University,United States,23.8–26.6,63.1,25.3,36.2,7.0,22.5
501–600,Ariel University,Israel,23.8–26.6,65.2,49.6,27.6,16.4,14.0
501–600,Auburn University,United States,23.8–26.6,54.0,57.7,43.0,9.3,19.8
501–600,Babeş-Bolyai University,Romania,23.8–26.6,50.4,39.2,28.0,11.1,24.0
501–600,Bilkent University,Turkey,23.8–26.6,47.8,42.4,55.7,12.4,19.6
501–600,Birmingham City University,United Kingdom,23.8–26.6,59.4,23.2,76.4,7.4,16.1
501–600,Comenius University in Bratislava,Slovakia,23.8–26.6,38.9,21.1,44.2,11.8,25.7
501–600,De Montfort University,United Kingdom,23.8–26.6,59.5,38.0,64.9,10.9,15.2
501–600,Edith Cowan University,Australia,23.8–26.6,68.9,54.7,53.5,10.0,16.1
501–600,Ewha Womans University,South Korea,23.8–26.6,35.0,60.5,50.3,14.6,26.5
501–600,Ferdowsi University of Mashhad,Iran,23.8–26.6,50.5,48.9,44.5,14.3,20.6
501–600,Georgia State University,United States,23.8–26.6,72.6,59.0,36.5,11.1,17.0
501–600,Immanuel Kant Baltic Federal University,Russian Federation,23.8–26.6,45.7,35.9,48.8,17.0,21.8
501–600,Istanbul Technical University,Turkey,23.8–26.6,44.9,31.9,35.5,15.7,22.5
501–600,Keio University,Japan,23.8–26.6,43.5,50.9,75.4,11.4,22.9
501–600,Kingston University,United Kingdom,23.8–26.6,51.2,27.3,69.9,9.3,19.9
501–600,Kwame Nkrumah University of Science and Technology,Ghana,23.8–26.6,62.2,56.2,48.9,11.4,13.3
501–600,Leeds Beckett University,United Kingdom,23.8–26.6,65.6,31.9,50.7,9.4,15.6
501–600,Lehigh University,United States,23.8–26.6,48.4,64.6,53.6,8.8,23.4
501–600,Liverpool John Moores University,United Kingdom,23.8–26.6,64.8,32.2,61.3,9.9,14.2
501–600,Manchester Metropolitan University,United Kingdom,23.8–26.6,64.8,31.4,55.5,13.2,16.8
501–600,Nanjing Normal University,China,23.8–26.6,77.0,28.8,48.9,6.3,18.5
501–600,Nantes Université,France,23.8–26.6,51.6,54.2,67.1,14.1,16.5
501–600,National Chengchi University,Taiwan,23.8–26.6,40.5,49.4,65.6,16.1,19.3
501–600,National Tsing Hua University,Taiwan,23.8–26.6,36.5,71.9,57.5,16.3,15.7
501–600,National University of Distance Education (UNED),Spain,23.8–26.6,49.6,42.1,27.8,16.9,24.7
501–600,Nicolaus Copernicus University in Toruń,Poland,23.8–26.6,49.1,21.3,31.0,18.1,21.6
501–600,North-West University,South Africa,23.8–26.6,55.0,60.6,51.7,11.5,17.5
501–600,Nottingham Trent University,United Kingdom,23.8–26.6,54.2,26.5,68.5,9.6,18.9
501–600,Open University of Catalonia,Spain,23.8–26.6,82.3,21.9,46.7,14.3,12.3
501–600,Pablo de Olavide University,Spain,23.8–26.6,48.1,18.3,52.0,15.5,21.7
501–600,Palacký University Olomouc,Czechia,23.8–26.6,40.8,18.6,49.4,20.7,20.6
501–600,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Brazil,23.8–26.6,36.2,46.0,32.0,14.2,29.4
501–600,Saint Louis University,United States,23.8–26.6,50.5,30.9,25.8,12.9,25.4
501–600,Shahid Beheshti University,Iran,23.8–26.6,42.7,57.8,31.5,15.3,25.1
501–600,Sheffield Hallam University,United Kingdom,23.8–26.6,69.5,30.6,57.9,11.7,15.2
501–600,Shenzhen University,China,23.8–26.6,56.2,69.8,54.3,12.5,19.4
501–600,SUNY Binghamton University,United States,23.8–26.6,58.7,61.1,31.7,16.4,17.0
501–600,Texas Tech University,United States,23.8–26.6,56.1,51.9,40.4,9.8,22.4
501–600,The John Paul II Catholic University of Lublin,Poland,23.8–26.6,45.7,18.1,29.2,13.8,29.8
501–600,The New School,United States,23.8–26.6,40.1,23.8,53.6,17.3,25.1
501–600,The University of Jordan,Jordan,23.8–26.6,55.1,27.1,55.5,9.3,20.2
501–600,The University of Texas at San Antonio,United States,23.8–26.6,83.3,41.9,32.6,9.6,13.4
501–600,Université de Poitiers,France,23.8–26.6,29.8,28.1,52.5,16.9,22.0
501–600,Université d’Orléans,France,23.8–26.6,55.9,25.2,75.2,8.4,16.9
501–600,University of Algarve,Portugal,23.8–26.6,67.0,23.0,68.8,15.9,12.9
501–600,University of Arkansas,United States,23.8–26.6,67.0,54.4,31.4,6.9,20.3
501–600,University of Aveiro,Portugal,23.8–26.6,46.4,24.4,61.4,15.1,22.0
501–600,University of Brasília,Brazil,23.8–26.6,33.5,20.6,34.9,13.2,29.8
501–600,University of Brighton,United Kingdom,23.8–26.6,61.4,63.6,67.4,10.1,12.5
501–600,University of Bucharest,Romania,23.8–26.6,41.3,31.4,26.4,17.8,23.6
501–600,University of Cadiz,Spain,23.8–26.6,47.9,35.5,48.5,17.1,20.5
501–600,University of Cagliari,Italy,23.8–26.6,54.3,63.7,33.2,12.2,21.5
501–600,University of Central Lancashire,United Kingdom,23.8–26.6,60.3,52.8,78.1,10.5,14.3
501–600,University of Chile,Chile,23.8–26.6,46.4,36.3,35.5,19.3,20.2
501–600,University of Córdoba,Spain,23.8–26.6,49.4,28.0,42.0,18.2,21.2
501–600,University of Denver,United States,23.8–26.6,55.7,60.1,35.6,8.1,22.8
501–600,University of Ghana,Ghana,23.8–26.6,49.9,48.5,48.1,14.6,15.7
501–600,University of Girona,Spain,23.8–26.6,46.0,52.6,29.2,16.9,20.4
501–600,University of Greifswald,Germany,23.8–26.6,46.7,34.5,54.4,16.9,20.4
501–600,University of Guelph,Canada,23.8–26.6,62.4,56.1,41.2,12.1,19.4
501–600,University of Houston,United States,23.8–26.6,65.1,63.8,54.4,10.0,17.1
501–600,University of Las Palmas de Gran Canaria,Spain,23.8–26.6,44.6,17.8,39.2,15.3,22.7
501–600,University of Latvia,Latvia,23.8–26.6,55.3,37.5,43.5,18.7,15.9
501–600,University of Malaga,Spain,23.8–26.6,49.5,31.0,35.1,17.6,16.7
501–600,University of Malta,Malta,23.8–26.6,53.8,30.3,58.8,11.6,21.1
501–600,University of Messina,Italy,23.8–26.6,49.7,80.1,21.3,15.5,19.1
501–600,University of Nebraska-Lincoln,United States,23.8–26.6,58.1,53.7,44.5,11.4,20.2
501–600,University of New Brunswick UNB,Canada,23.8–26.6,55.5,54.0,55.2,13.0,15.3
501–600,University of North Carolina at Charlotte,United States,23.8–26.6,73.6,42.8,37.0,10.4,18.7
501–600,University of Oviedo,Spain,23.8–26.6,45.3,40.5,36.3,15.4,26.5
501–600,University of Plymouth,United Kingdom,23.8–26.6,65.6,18.0,79.2,11.1,15.0
501–600,University of Salerno,Italy,23.8–26.6,46.6,32.0,40.7,12.6,21.6
501–600,University of Salford,United Kingdom,23.8–26.6,54.1,63.4,66.8,10.2,14.7
501–600,"University of Santiago, Chile (USACH)",Chile,23.8–26.6,42.1,23.2,36.0,17.2,21.0
501–600,University of Savoie Mont Blanc,France,23.8–26.6,58.3,52.9,75.5,9.3,12.4
501–600,University of Siegen,Germany,23.8–26.6,49.6,56.0,35.3,17.9,19.9
501–600,University of South Africa,South Africa,23.8–26.6,61.6,35.7,25.8,13.9,21.9
501–600,University of Texas at Dallas,United States,23.8–26.6,54.7,71.6,32.0,10.0,20.8
501–600,"University of the Andes, Chile",Chile,23.8–26.6,39.8,19.6,46.0,17.5,21.4
501–600,"University of the Andes, Colombia",Colombia,23.8–26.6,52.9,47.2,43.2,17.3,17.5
501–600,University of the Balearic Islands,Spain,23.8–26.6,46.1,46.6,36.5,12.1,22.7
501–600,University of the Free State,South Africa,23.8–26.6,57.4,31.1,31.9,16.2,20.7
501–600,University of the Sunshine Coast,Australia,23.8–26.6,68.5,18.3,51.7,13.1,15.7
501–600,University of Tours,France,23.8–26.6,35.7,55.9,67.2,13.1,18.8
501–600,University of Trieste,Italy,23.8–26.6,47.6,38.2,47.1,15.2,23.8
501–600,University of Valladolid,Spain,23.8–26.6,48.0,30.8,46.9,14.7,25.3
501–600,University of Vigo,Spain,23.8–26.6,49.6,39.2,42.4,13.7,20.1
501–600,University of Windsor,Canada,23.8–26.6,59.9,56.4,68.6,15.2,13.3
501–600,University of Wuppertal,Germany,23.8–26.6,45.0,59.3,40.1,20.2,17.3
501–600,University of Wyoming,United States,23.8–26.6,58.4,41.4,36.5,9.4,22.7
501–600,Vilnius University,Lithuania,23.8–26.6,43.9,42.7,42.6,17.6,21.4
501–600,Wake Forest University,United States,23.8–26.6,56.4,62.7,36.1,10.7,19.1
501–600,Western Michigan University,United States,23.8–26.6,58.3,47.2,36.7,9.5,19.9
501–600,William & Mary,United States,23.8–26.6,48.0,43.1,22.1,11.3,30.5
501–600,Xi’an Jiaotong-Liverpool University,China,23.8–26.6,58.0,25.7,77.6,7.4,18.1
601+,Adolfo Ibáñez University,Chile,13.8–23.6,40.9,34.3,61.2,11.8,16.3
601+,Ain Shams University,Egypt,13.8–23.6,27.8,34.8,39.5,8.8,16.4
601+,Akdeniz University,Turkey,13.8–23.6,30.4,53.2,27.8,7.5,13.6
601+,Alberto Hurtado University,Chile,13.8–23.6,45.8,17.8,31.2,10.9,14.5
601+,Alexandru Ioan Cuza University,Romania,13.8–23.6,36.4,63.2,26.4,8.2,17.1
601+,Allameh Tabataba ’i University,Iran,13.8–23.6,46.6,26.8,28.2,8.2,19.8
601+,Amedeo Avogadro University of Eastern Piedmont,Italy,13.8–23.6,36.4,18.0,31.1,13.3,11.2
601+,Ankara University,Turkey,13.8–23.6,34.5,27.3,35.7,9.1,15.9
601+,Austral University of Chile,Chile,13.8–23.6,45.2,24.7,39.3,11.4,10.9
601+,Bowling Green State University,United States,13.8–23.6,77.0,24.5,24.5,8.9,15.9
601+,Budapest University of Technology and Economics,Hungary,13.8–23.6,43.8,47.2,40.2,9.0,13.0
601+,Cairo University,Egypt,13.8–23.6,48.6,35.8,39.5,8.9,19.9
601+,Catholic University of Portugal,Portugal,13.8–23.6,41.3,43.3,53.2,12.0,15.8
601+,Chiang Mai University,Thailand,13.8–23.6,39.1,23.3,41.8,6.0,11.0
601+,Chongqing University,China,13.8–23.6,60.7,51.1,53.3,8.3,11.6
601+,College of Charleston,United States,13.8–23.6,45.7,25.0,21.1,6.6,11.9
601+,"Colorado State University, Fort Collins",United States,13.8–23.6,63.7,45.6,41.9,9.1,12.1
601+,Dalian University of Technology,China,13.8–23.6,52.1,46.9,51.9,8.0,14.7
601+,De La Salle University,Philippines,13.8–23.6,45.8,21.9,28.9,10.8,20.7
601+,Diego Portales University,Chile,13.8–23.6,44.8,26.1,38.3,8.4,10.6
601+,Drexel University,United States,13.8–23.6,58.7,72.4,46.1,7.3,16.5
